TYPE,WIDTH,HEIGHT
CIRCLE,3.805419986,18.36314405
CIRCLE,47.78418314,31.90745955
RECTANGLE,49.18831464,29.11703466
RECTANGLE,18.85124362,18.22353173
RECTANGLE,15.45674687,33.61875852
RECTANGLE,21.16367061,10.10253166
RECTANGLE,26.37833511,35.7289908
RECTANGLE,29.66981601,10.40132589
CIRCLE,28.4033512,18.27308933
RECTANGLE,9.309707274,29.48495635
CIRCLE,45.91341606,30.79901264
CIRCLE,21.51038223,45.28833601
CIRCLE,22.21542008,38.39786571
CIRCLE,34.49286779,21.41322126
CIRCLE,35.53851251,3.657377686
RECTANGLE,32.89861685,11.58076965
RECTANGLE,41.79194007,36.31862438
RECTANGLE,34.74321083,41.26001179
CIRCLE,8.341572844,7.706317494
CIRCLE,36.20515365,19.79252921
CIRCLE,15.56291074,39.50295502
RECTANGLE,17.25755691,48.83366309
CIRCLE,15.42839981,38.93716851
CIRCLE,3.650531181,5.430568265
RECTANGLE,48.88685968,14.95655546
CIRCLE,43.25209919,40.55741389
RECTANGLE,36.29283468,22.45533352
RECTANGLE,17.25544623,46.42805759
CIRCLE,17.64368581,44.12710363
CIRCLE,19.26030897,8.406485815
RECTANGLE,31.88224023,32.01306006
CIRCLE,47.73632669,19.83536108
RECTANGLE,37.02279734,43.31593765
CIRCLE,19.87616229,50.60296017
CIRCLE,35.35831347,17.55002719
CIRCLE,27.34620787,22.76883321
RECTANGLE,30.50657895,4.597552691
CIRCLE,16.9426805,9.068486789
CIRCLE,5.553192773,15.74174544
RECTANGLE,41.66093194,32.61741672
RECTANGLE,24.04915643,32.24690381
RECTANGLE,40.18577642,8.634783742
CIRCLE,18.12089104,18.5557719
RECTANGLE,15.31064928,31.50706332
RECTANGLE,40.45049066,49.67453221
CIRCLE,44.29341734,23.01196758
RECTANGLE,19.38403515,24.81573771
CIRCLE,16.65664078,20.0229621
RECTANGLE,18.92576374,1.869491484
CIRCLE,7.440104786,42.51468408
RECTANGLE,17.87591958,49.77318101
RECTANGLE,6.41344577,45.18957828
CIRCLE,34.87009529,28.35009365
RECTANGLE,36.25665561,18.5460577
RECTANGLE,38.57786997,17.68720348
RECTANGLE,5.216310149,17.70850937
CIRCLE,44.81856427,31.62246923
RECTANGLE,2.245306387,9.839451181
CIRCLE,14.85192458,12.41193077
RECTANGLE,5.133940109,43.45415384
RECTANGLE,31.60154082,16.14693377
RECTANGLE,34.64012443,5.458040823
CIRCLE,43.06882281,10.99178845
CIRCLE,50.12657012,44.2271846
CIRCLE,24.69533412,22.81217136
CIRCLE,44.71273318,49.55219824
RECTANGLE,24.93130929,25.26459147
RECTANGLE,10.44934698,42.76584766
RECTANGLE,20.7681532,33.91722757
RECTANGLE,6.523349432,42.87469079
RECTANGLE,22.4927495,26.47244463
CIRCLE,26.0010221,37.01505808
RECTANGLE,29.42137789,23.66131719
RECTANGLE,19.11713713,46.05368843
RECTANGLE,50.87105803,27.88045517
RECTANGLE,43.61795617,38.65332342
CIRCLE,19.12614179,29.14144877
RECTANGLE,25.16586109,9.623590745
RECTANGLE,33.65793982,50.40326
RECTANGLE,23.31344248,50.87746813
RECTANGLE,38.3552308,16.85784837
RECTANGLE,11.05487073,5.813658952
RECTANGLE,46.02343885,46.2393636
RECTANGLE,38.46233442,10.44517805
RECTANGLE,36.91029509,19.72720832
RECTANGLE,13.4153867,37.09446656
RECTANGLE,20.5158132,5.513286856
CIRCLE,44.93099091,18.97535253
CIRCLE,12.44436689,19.60374705
CIRCLE,7.102094412,46.48215571
RECTANGLE,40.55670491,20.92553545
CIRCLE,44.15253047,38.50627067
RECTANGLE,7.179696237,50.30807307
RECTANGLE,49.61606502,4.600514492
RECTANGLE,46.63163249,35.41036807
CIRCLE,15.14740394,26.3115742
RECTANGLE,29.82089702,46.1638728
RECTANGLE,6.97297371,48.50085767
RECTANGLE,30.17579905,47.80139535
CIRCLE,40.4892751,33.9740532
RECTANGLE,27.66341096,11.04239868
RECTANGLE,36.01664312,47.23972759
CIRCLE,40.15520078,1.504968843
RECTANGLE,1.216208833,45.71725301
CIRCLE,33.89727447,32.91478491
RECTANGLE,48.17788631,19.21440302
CIRCLE,27.3430585,31.18140383
RECTANGLE,15.68718648,30.99489366
CIRCLE,15.10620562,18.91215904
RECTANGLE,29.67868016,26.2562237
RECTANGLE,1.291561399,42.4339996
RECTANGLE,47.38391758,36.33809256
CIRCLE,43.96199927,25.89357594
RECTANGLE,43.18162629,19.48172282
CIRCLE,24.99891683,49.50588075
RECTANGLE,6.657975083,41.46040868
RECTANGLE,22.11423857,11.5217677
RECTANGLE,35.8847514,11.90157743
CIRCLE,22.27171296,45.98464808
CIRCLE,21.4232359,4.620701938
RECTANGLE,28.2753175,30.84669362
RECTANGLE,29.06160111,2.787365271
CIRCLE,22.7826046,33.51483924
CIRCLE,1.793641221,22.24378943
RECTANGLE,16.5007718,3.396915069
CIRCLE,14.04665231,28.79614184
CIRCLE,19.82329707,33.51820712
CIRCLE,23.66626357,27.79893406
CIRCLE,39.66492818,25.77877334
RECTANGLE,29.66604217,16.85282382
CIRCLE,15.75285463,6.921807328
RECTANGLE,6.24968552,4.936129983
RECTANGLE,23.13186647,4.783388743
RECTANGLE,46.11360069,13.79038379
RECTANGLE,30.14131377,6.893900392
CIRCLE,8.53769782,39.88020927
CIRCLE,13.62168518,36.00146412
RECTANGLE,30.27220368,17.74786625
CIRCLE,45.60860901,39.58766305
RECTANGLE,19.72830463,38.0827566
RECTANGLE,28.27209265,2.945906623
RECTANGLE,17.48043672,36.32620597
RECTANGLE,16.35881855,7.892715032
CIRCLE,18.58803853,30.13184064
RECTANGLE,28.89530007,21.68225845
CIRCLE,14.74456615,46.50186466
CIRCLE,14.40971427,13.19445638
CIRCLE,26.76159906,41.91955277
RECTANGLE,46.43022969,5.966942794
RECTANGLE,10.39583142,31.29827815
CIRCLE,38.51762773,40.14122252
CIRCLE,31.02678829,4.067365432
CIRCLE,30.59004285,27.89331946
RECTANGLE,15.1930423,18.21511821
CIRCLE,10.79763029,49.41924098
CIRCLE,49.49477522,25.60929261
RECTANGLE,49.70496818,49.04555657
RECTANGLE,9.870488525,44.41536409
RECTANGLE,36.0390203,3.535414681
RECTANGLE,16.75565791,6.932873705
CIRCLE,15.76045116,47.1603096
RECTANGLE,24.13117353,23.67018721
CIRCLE,48.71612958,50.60790251
RECTANGLE,12.96934994,16.97796323
CIRCLE,9.630614337,13.296218
CIRCLE,22.0853429,40.0616516
CIRCLE,22.69443996,41.16452642
RECTANGLE,11.90176915,9.693334202
CIRCLE,31.50702691,44.51121515
RECTANGLE,19.1343421,43.44321921
RECTANGLE,18.63200649,2.948982549
CIRCLE,22.90634914,4.751096317
RECTANGLE,1.522792419,7.047641737
RECTANGLE,5.299771024,21.65807767
CIRCLE,44.0762033,48.73486689
RECTANGLE,1.85085534,7.518924099
RECTANGLE,35.57194437,45.02518209
RECTANGLE,49.99796649,24.51527376
CIRCLE,1.255773958,42.14751321
RECTANGLE,5.989516394,43.2900961
RECTANGLE,21.32415244,9.641608475
CIRCLE,13.25978673,14.52366033
RECTANGLE,47.56819775,46.49364631
RECTANGLE,17.78046824,30.77135449
CIRCLE,19.4347494,33.88133718
RECTANGLE,38.39571032,19.3836571
CIRCLE,43.76236787,31.59884146
RECTANGLE,12.64851132,19.82856679
RECTANGLE,14.95006325,27.73179843
RECTANGLE,1.10625062,11.23682269
CIRCLE,14.81658414,13.65280302
RECTANGLE,45.69317902,18.49020424
RECTANGLE,43.90806495,18.90761823
RECTANGLE,40.03768093,37.67324207
RECTANGLE,48.51185383,3.062453635
RECTANGLE,32.34211772,34.20863871
RECTANGLE,20.13432586,14.08261463
CIRCLE,43.78306914,29.49672222
RECTANGLE,6.700506245,35.3128337
CIRCLE,47.94978177,4.379240635
CIRCLE,37.23329365,5.629603063
RECTANGLE,19.32863427,10.24780465
CIRCLE,24.27012594,9.835813606
RECTANGLE,21.34144159,41.11730136
RECTANGLE,20.77487208,48.86801605
CIRCLE,16.94540064,32.48458401
RECTANGLE,20.80278771,11.88662077
CIRCLE,47.30249707,15.29275436
RECTANGLE,5.676321391,34.8193379
CIRCLE,36.5261791,15.82134721
RECTANGLE,49.9296132,42.42817944
CIRCLE,43.01311668,4.822726107
CIRCLE,13.77946708,33.47034271
RECTANGLE,40.36785334,11.72501936
RECTANGLE,11.38063675,31.02326
CIRCLE,23.42817367,32.22188348
RECTANGLE,6.623219608,32.54416219
RECTANGLE,47.39897918,20.06942578
CIRCLE,50.72998093,6.734441901
RECTANGLE,20.60250881,16.41059968
CIRCLE,38.41141287,46.77914331
RECTANGLE,33.85269624,32.44736234
RECTANGLE,21.83635098,2.031889757
RECTANGLE,21.96149391,13.78093985
CIRCLE,34.17594772,22.71554261
CIRCLE,15.38495569,27.24048332
CIRCLE,36.97883302,14.7089423
RECTANGLE,2.516916611,23.5204465
RECTANGLE,18.13525344,13.99000734
RECTANGLE,35.63805594,41.44699467
CIRCLE,29.6880179,2.805515287
CIRCLE,26.02817424,32.19374541
RECTANGLE,17.248058,2.137894584
CIRCLE,36.24949201,44.26717067
CIRCLE,5.272418984,37.53931057
CIRCLE,40.10877769,22.58196177
RECTANGLE,14.96247561,37.90338562
RECTANGLE,33.30612122,37.44667157
CIRCLE,4.040220927,39.2448443
CIRCLE,40.2781711,21.77995004
RECTANGLE,30.16039918,28.05741657
CIRCLE,25.24363425,7.377680954
CIRCLE,2.216329848,21.3202865
CIRCLE,27.95886603,13.55133567
RECTANGLE,46.29721388,42.72342584
RECTANGLE,7.191347754,3.957854404
RECTANGLE,25.55474024,17.18210788
CIRCLE,37.41888174,39.94136743
CIRCLE,15.73681567,18.21091199
CIRCLE,16.76229791,21.20707532
CIRCLE,50.64621078,15.22754922
RECTANGLE,6.659502227,17.14758534
CIRCLE,14.28195084,30.35680013
CIRCLE,36.28866072,4.642034647
RECTANGLE,18.92125838,26.80489271
RECTANGLE,17.24834825,40.64829929
CIRCLE,20.8998568,13.37462469
CIRCLE,26.50246803,10.40860959
CIRCLE,38.34845666,12.19154923
CIRCLE,28.09775277,4.588880208
CIRCLE,47.6432239,49.21152753
RECTANGLE,16.66165548,41.17206696
RECTANGLE,47.82805709,39.57996686
CIRCLE,28.18846102,10.42586492
RECTANGLE,44.76647194,2.41305966
CIRCLE,26.12140474,33.76506629
RECTANGLE,19.28091609,2.071332344
CIRCLE,33.23863249,39.82887207
CIRCLE,6.037326832,25.49580647
RECTANGLE,42.35080576,23.59349052
RECTANGLE,22.43273141,17.67710789
RECTANGLE,1.318161614,16.84032874
CIRCLE,49.24372306,9.827815183
CIRCLE,30.39484156,10.80007721
CIRCLE,27.29360003,37.32836609
RECTANGLE,42.40830934,34.29301784
RECTANGLE,46.89601013,7.016842793
CIRCLE,48.78166249,3.185864693
CIRCLE,19.3328817,35.89293645
CIRCLE,46.90664587,19.485428
RECTANGLE,32.12447877,45.80641066
CIRCLE,46.87519577,10.88945582
CIRCLE,2.349377973,11.20037448
RECTANGLE,8.077307302,14.11491895
RECTANGLE,4.772189673,19.47967663
RECTANGLE,18.67305563,17.82408926
CIRCLE,14.03682364,16.07473583
RECTANGLE,13.44656643,43.46870292
RECTANGLE,12.68312498,18.77111462
CIRCLE,38.04976634,4.872525397
CIRCLE,29.2446862,48.37516175
CIRCLE,30.14371003,49.872637
CIRCLE,33.1856452,35.2860116
CIRCLE,50.44530305,49.83974122
RECTANGLE,25.93428808,24.04428371
CIRCLE,9.187236175,15.39782254
RECTANGLE,29.77126307,10.42777218
RECTANGLE,45.99893874,29.16344511
RECTANGLE,38.83022732,8.164438639
RECTANGLE,33.71636108,48.82502829
RECTANGLE,8.968725644,4.833041242
CIRCLE,39.12840904,46.38239536
CIRCLE,25.76712544,29.02168623
RECTANGLE,36.16783335,11.86691375
RECTANGLE,2.413414952,13.31463344
RECTANGLE,29.55438691,12.3625378
CIRCLE,21.73167594,50.1776569
CIRCLE,9.398070286,9.648072595
CIRCLE,49.11205239,50.31227936
RECTANGLE,19.77026983,2.280955467
RECTANGLE,5.600011138,25.54919443
RECTANGLE,36.75060022,20.44288899
RECTANGLE,2.902725342,30.85118134
RECTANGLE,13.9572785,14.36762163
CIRCLE,4.570380775,12.49582921
RECTANGLE,16.06881649,39.67119906
CIRCLE,40.11021909,22.0083861
RECTANGLE,23.34487321,5.404983511
RECTANGLE,11.29114221,17.91504322
RECTANGLE,2.654050759,13.15177491
CIRCLE,42.39666569,39.88696184
CIRCLE,3.016476457,27.98533525
RECTANGLE,38.68406622,2.345365607
RECTANGLE,46.16894984,34.6136146
RECTANGLE,29.80750196,17.09799793
RECTANGLE,45.16050736,44.52602524
RECTANGLE,37.46294829,17.07727115
CIRCLE,46.48617263,32.46504269
CIRCLE,19.01273833,15.75040848
RECTANGLE,3.76674088,43.04246389
RECTANGLE,1.347539333,49.27189447
CIRCLE,3.482393469,20.82063243
CIRCLE,31.74355327,10.94855403
CIRCLE,25.76795946,29.67894195
RECTANGLE,34.97278785,50.08755601
RECTANGLE,35.77762713,39.78593033
CIRCLE,28.42417703,19.79767296
RECTANGLE,13.62693623,22.99727233
RECTANGLE,9.493389528,20.81409785
CIRCLE,43.41984981,10.00000008
RECTANGLE,41.99911352,50.91712594
CIRCLE,44.36871809,25.02323426
RECTANGLE,30.88365658,32.01503648
RECTANGLE,39.5149552,26.43577488
RECTANGLE,36.95565155,49.46145299
RECTANGLE,20.05822982,44.05083283
RECTANGLE,45.93269294,50.67752987
CIRCLE,25.8020012,16.45822831
RECTANGLE,18.54170826,12.64924436
CIRCLE,24.72318265,44.20437347
RECTANGLE,10.93488776,50.37014438
RECTANGLE,37.17378296,37.14034328
CIRCLE,17.17897007,50.7998203
CIRCLE,12.72230086,46.7583466
CIRCLE,48.07571625,29.40845387
RECTANGLE,30.14271284,36.83691652
CIRCLE,23.07135618,18.8777291
CIRCLE,3.558858004,8.21512797
RECTANGLE,14.51285503,12.02843189
RECTANGLE,40.25201847,6.016153787
RECTANGLE,46.00878478,43.54504884
RECTANGLE,8.139533419,50.14048102
RECTANGLE,9.152616149,7.567668653
CIRCLE,33.43224044,42.34908647
CIRCLE,25.36626627,20.72151256
CIRCLE,11.47856497,15.75689051
CIRCLE,42.12167907,2.654397487
CIRCLE,26.30306057,5.056807176
RECTANGLE,15.29829029,8.652440202
RECTANGLE,36.84723102,28.29469073
CIRCLE,41.93415029,11.40433188
CIRCLE,50.42042691,33.51550362
RECTANGLE,20.12854562,41.48447752
CIRCLE,16.36863755,26.10101238
RECTANGLE,25.35392553,8.625317263
CIRCLE,35.4689997,5.119317476
RECTANGLE,4.934932556,38.34915741
RECTANGLE,43.05781516,49.50654778
RECTANGLE,4.952371182,21.02979335
CIRCLE,36.3999081,7.401009746
CIRCLE,6.32990358,32.954272
CIRCLE,29.3071316,4.450121418
CIRCLE,9.361310649,1.455071216
RECTANGLE,29.51381898,49.41043762
CIRCLE,18.43610691,48.68304771
CIRCLE,46.81702247,27.86107354
CIRCLE,41.22133445,11.09142173
CIRCLE,2.48931879,37.35084909
CIRCLE,29.05734876,44.20114822
CIRCLE,22.97202244,29.79945954
RECTANGLE,47.82540696,34.71797346
RECTANGLE,13.35660287,39.47298605
RECTANGLE,31.04486362,4.571475256
RECTANGLE,18.66211845,37.35406024
CIRCLE,29.45780287,3.94642934
CIRCLE,43.41648991,15.22699767
RECTANGLE,33.85889882,2.876788267
CIRCLE,12.54941309,15.29820482
CIRCLE,10.42834182,3.472593673
RECTANGLE,19.10473408,33.67217721
RECTANGLE,50.32561152,7.350142804
CIRCLE,16.78009428,38.50340476
RECTANGLE,47.80194602,35.33570665
RECTANGLE,27.80165859,6.144491226
CIRCLE,33.58927932,9.013128467
RECTANGLE,49.14173306,41.11080194
RECTANGLE,2.823503515,16.18559663
CIRCLE,2.587100389,8.181948542
RECTANGLE,39.25982025,44.82192772
CIRCLE,36.66587124,17.46043284
RECTANGLE,50.03804545,32.55764445
CIRCLE,50.94066577,15.70775347
RECTANGLE,37.7556294,41.32118845
RECTANGLE,25.67594468,49.77829212
RECTANGLE,49.10624166,29.15555879
RECTANGLE,2.387297929,30.47129135
RECTANGLE,1.841721947,3.80570329
CIRCLE,23.2805016,37.62122866
RECTANGLE,4.315199164,5.141965795
CIRCLE,50.08816139,19.74691993
RECTANGLE,44.36320024,25.98990559
RECTANGLE,45.31174529,4.079636473
RECTANGLE,36.78457664,43.43680598
CIRCLE,11.37683239,45.29057368
CIRCLE,31.17401839,45.18517292
RECTANGLE,45.70937643,3.737966196
CIRCLE,44.36801897,48.02355146
CIRCLE,32.24080686,6.554176213
RECTANGLE,44.26106713,17.98495398
RECTANGLE,2.349767951,7.393049303
RECTANGLE,24.2498929,14.26323185
RECTANGLE,10.74832191,23.1578738
RECTANGLE,20.06357784,41.45769252
RECTANGLE,34.32042608,38.53023175
CIRCLE,33.23734204,7.216270833
CIRCLE,14.42048064,31.62007481
CIRCLE,37.98782376,44.8475785
CIRCLE,25.63978845,36.55732181
RECTANGLE,10.74765256,22.97213665
RECTANGLE,16.54870316,21.34530346
RECTANGLE,34.11714552,26.78310136
RECTANGLE,30.4223202,21.79635336
CIRCLE,39.49092864,7.986806943
RECTANGLE,26.45747878,34.86986925
RECTANGLE,15.11728728,12.9934209
CIRCLE,34.48892644,37.23315354
RECTANGLE,18.84808829,11.42804532
CIRCLE,38.71243385,7.365340988
CIRCLE,47.33704159,9.532551522
CIRCLE,48.4226775,42.02473195
RECTANGLE,25.94416364,45.52848774
CIRCLE,26.27371647,20.3998432
RECTANGLE,46.10420857,26.51135051
CIRCLE,7.069848314,31.76447869
CIRCLE,39.41691576,28.94654442
RECTANGLE,2.594690208,44.95715568
CIRCLE,40.21686676,47.3373332
RECTANGLE,50.48626541,10.50516965
CIRCLE,50.88076499,38.13511153
RECTANGLE,27.66593714,48.71363383
CIRCLE,36.62996201,18.46228619
RECTANGLE,11.32897173,39.5397942
RECTANGLE,39.08602994,41.71810135
RECTANGLE,33.00457811,42.57293604
CIRCLE,10.33720214,34.6377045
RECTANGLE,33.69320056,37.94019156
RECTANGLE,31.77348345,42.87477635
RECTANGLE,40.58890762,41.45856499
CIRCLE,44.44826289,44.67803117
RECTANGLE,48.39466582,9.853490936
RECTANGLE,30.22421347,4.731902363
CIRCLE,50.73833241,14.36422126
RECTANGLE,45.46131675,2.731720083
CIRCLE,29.6971577,23.55638045
RECTANGLE,21.50480692,33.76370951
CIRCLE,23.93862993,48.66197242
RECTANGLE,8.73086047,40.06009908
CIRCLE,8.485458363,17.2671754
RECTANGLE,3.407834725,46.19967066
CIRCLE,31.61251799,3.668226861
RECTANGLE,9.130869169,32.32405691
RECTANGLE,16.88356684,6.715704121
CIRCLE,47.08766203,42.44009139
RECTANGLE,50.83553677,28.46753139
RECTANGLE,41.9132461,37.37853801
CIRCLE,39.31823489,19.47100506
RECTANGLE,22.39155513,14.47950408
RECTANGLE,27.99723988,18.99417129
CIRCLE,38.76160651,28.57484544
RECTANGLE,45.02782033,31.02684
RECTANGLE,10.88611811,11.3378891
CIRCLE,36.40769992,39.37158671
CIRCLE,34.04035338,48.57076583
RECTANGLE,27.01644692,27.6450126
RECTANGLE,31.57902837,37.49969427
RECTANGLE,2.849335035,32.50960569
RECTANGLE,6.23907689,8.648496516
CIRCLE,22.4534771,20.95650666
CIRCLE,4.336091407,9.360679844
RECTANGLE,28.0740299,44.95948078
CIRCLE,19.61226363,8.540393146
RECTANGLE,39.51830629,39.32043201
RECTANGLE,25.993608,44.68256252
CIRCLE,26.2455873,41.02674461
CIRCLE,41.01432055,1.762526246
RECTANGLE,15.69045886,20.94078798
RECTANGLE,34.16604864,10.05548277
CIRCLE,8.327480972,31.14188021
CIRCLE,6.929907201,31.45605154
RECTANGLE,32.48500042,33.74103288
RECTANGLE,33.74904783,1.368280836
RECTANGLE,34.41592474,39.48879164
RECTANGLE,15.69958421,11.7363907
CIRCLE,11.63326295,46.99646881
CIRCLE,11.11770491,32.28658419
RECTANGLE,10.01825417,35.89110351
CIRCLE,19.94076931,29.55022583
RECTANGLE,17.70888404,29.72444306
CIRCLE,11.02020321,5.738707333
RECTANGLE,1.276620089,6.956263802
RECTANGLE,44.16401552,42.04030741
CIRCLE,42.19915671,50.83235428
RECTANGLE,1.166733594,43.40936753
CIRCLE,44.13699896,41.47745404
RECTANGLE,2.584589462,44.41807598
RECTANGLE,44.02169038,6.023478216
CIRCLE,49.51373994,48.24120772
RECTANGLE,22.46350186,5.093326514
CIRCLE,42.12937184,33.34408974
CIRCLE,21.48638617,46.46060206
RECTANGLE,39.24346758,24.94413974
RECTANGLE,40.09801808,29.20554139
CIRCLE,35.63906697,40.81627197
RECTANGLE,40.70272774,34.18747153
RECTANGLE,46.43883146,33.51248884
RECTANGLE,11.86514922,39.15411908
RECTANGLE,50.26572178,13.56596874
RECTANGLE,45.43237755,49.30805257
CIRCLE,5.453597652,50.74996153
RECTANGLE,48.52247112,46.65061247
RECTANGLE,16.06556366,12.96181609
RECTANGLE,23.38709101,23.92360211
RECTANGLE,36.97786595,14.80242201
CIRCLE,10.65610049,31.46908034
CIRCLE,19.7871469,10.42142491
RECTANGLE,3.971939601,27.82755335
CIRCLE,13.79888226,27.69847644
RECTANGLE,6.521575248,37.39488213
RECTANGLE,48.85480833,3.330873714
CIRCLE,12.47385269,30.95821763
CIRCLE,39.25714682,40.89787617
CIRCLE,8.830052124,7.431280507
RECTANGLE,10.54744581,26.4720171
CIRCLE,5.695465436,17.60928888
RECTANGLE,13.39784703,48.84773251
CIRCLE,15.47980989,33.26385725
CIRCLE,1.372596081,33.95760338
CIRCLE,14.03428077,27.39817057
CIRCLE,11.81759647,15.54654011
RECTANGLE,29.23306829,43.98274645
CIRCLE,1.6358363,26.67420873
RECTANGLE,15.00714276,47.99210834
CIRCLE,2.206488204,9.116017673
CIRCLE,31.33812009,9.062668465
CIRCLE,20.20549462,50.2329805
RECTANGLE,13.2200278,34.59214051
CIRCLE,23.58546165,19.38075601
RECTANGLE,24.09677579,30.60079163
RECTANGLE,14.47266429,38.42819558
RECTANGLE,1.783144873,31.17485434
RECTANGLE,3.238977013,33.45568551
CIRCLE,17.37711782,49.81239313
RECTANGLE,10.50654698,27.20362862
CIRCLE,30.17134475,18.49196322
CIRCLE,36.34301232,44.34134576
CIRCLE,34.07157252,42.78434328
CIRCLE,48.4050951,14.12673531
CIRCLE,3.529846465,13.8276895
RECTANGLE,3.28836122,17.52698132
CIRCLE,9.500288682,30.48639038
RECTANGLE,27.84097369,38.37064563
CIRCLE,38.42527714,47.51396158
CIRCLE,49.69925043,40.60143666
CIRCLE,9.759831661,28.04027122
RECTANGLE,28.8028295,6.203974935
